Link,Sector,Prime Award Type,Prime Funding Agency,Prime Funding Office,Prime Parent Funding Office,Prime Contracting Agency,Prime Parent Contracting Agency,Prime Contracting Agency,Prime Parent Contracting Office,Prime Contracting Office,Prime Contracting Office Address 1,Prime Contracting Office Address 2,Prime Contracting Office City,Prime Contracting Office State,Prime Contracting Office Zip,Prime Contracting Office Phone,Prime Contracting Office Fax,Prime Contracting Office URL,Prime Contracting Office Organization Score,Solicitation ID,Contract ID,Task Order ID,Award Number,Prime Award Date,Prime Response Date,Prime Start Date,Prime End Date,Prime Awarded Value,Prime Awardee Name,Industry,Sub Industry,Prime Place Of Performance Address 1,Prime Place Of Performance Address 2,Prime Place Of Performance City,Prime Place Of Performance State,Prime Place Of Performance Zip,Prime Place Of Performance Country,NAICS,PSC,NIGP,Prime Set Aside,Contract Vehicle,Prime Pricing Type,Extent Competed,Prime Contacts,Prime Awardee Parent Name,Prime Awardee Name,Prime Awardee Address 1,Prime Awardee Address 2,Prime Awardee City,Prime Awardee State,Prime Awardee Zip,Prime Awardee Phone,Prime Awardee Fax,Prime Awardee URL,Prime Award Description,Subcontractor,Subcontractor Parent,Subcontract Awarded Date,Subcontract Amount,Subcontract ID,Subcontract Description,Subcontract Awardee Contacts
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,C-130 ATS II,Dell Marketing L.P.,Dell Inc.,12/19/2014,41299.22,4101745718," COMPUTER, DELL PRECISION TOWER 7910 CTO COMPUTER, DELL PRECISION TOWER 7810 CTO COMPUTER, DELL PRECISION T1700MT CTO BAS 27 INCH MONITOR",
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,,INTERNATIONAL BUSINESS MACHINES CORPORATION,International Business Machines Corporation,06/10/2015,35500.0,4102009050, E0J5MLL IBM KENEXA LCMS SW SUPPORT 20,
https://analytics.govini.com/details/procurement/6366058667196985349/19297743/,U.S. Federal Agency,,US Department of the Air Force,Hill AFB,Bases,US Department of the Air Force,,US Department of the Air Force,Bases,Hill AFB, ,,Hill AFB,UT,84056,,,http://www.afmc.af.mil/,0,FA8223-10-R-0130,,,FA822311C0001,11/09/2010,,,,,LOCKHEED MARTIN CORP,Governance & Education,Educational Services, ,,Hill AFB,UT,84056,United States,(611512) Flight Training,"(J) MAINTENANCE, REPAIR, AND REBUILDING OF EQUIPMENT",,,,,,Rick Kelley  rick.g.kelley@lmco.com 4073065245,Lockheed Martin Corporation,LOCKHEED MARTIN CORP,ORLANDO,,Orlando,FL,32825,,,http://www.lockheedmartin.com/us/mfc/siteinformation/orlando.html,C-130 ATS II,"AERO SIMULATION, INC.","AERO SIMULATION, INC.",10/14/2014,8800000.0,4101618819, ECL/AERO ECP SUPPORT,
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,C-130 ATS II,HEWLETT-PACKARD COMPANY,Hewlett-Packard Company,01/25/2013,59886.4,4100741046, CE725A PRINTER BASE CE708A#201 HP COLOR PRINTER SERVICE ITEM,
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,C-130 ATS II,"MASTERCONTROL, INC.","MASTERCONTROL, INC.",08/16/2012,29734.69,4100554294, MAINTENANCE AGREEMENT,
https://analytics.govini.com/details/procurement/6366058667196985349/19297743/,U.S. Federal Agency,,US Department of the Air Force,Hill AFB,Bases,US Department of the Air Force,,US Department of the Air Force,Bases,Hill AFB, ,,Hill AFB,UT,84056,,,http://www.afmc.af.mil/,0,FA8223-10-R-0130,,,FA822311C0001,11/09/2010,,,,,LOCKHEED MARTIN CORP,Governance & Education,Educational Services, ,,Hill AFB,UT,84056,United States,(611512) Flight Training,"(J) MAINTENANCE, REPAIR, AND REBUILDING OF EQUIPMENT",,,,,,Rick Kelley  rick.g.kelley@lmco.com 4073065245,Lockheed Martin Corporation,LOCKHEED MARTIN CORP,ORLANDO,,Orlando,FL,32825,,,http://www.lockheedmartin.com/us/mfc/siteinformation/orlando.html,C-130 ATS II,"OVERHEAD DOOR COMPANY OF NORWICH, INC.","OVERHEAD DOOR COMPANY OF NORWICH, INC.",11/22/2013,26243.0,4101120842, MATERIALS FOR OVERHEAD DOOR PROJECT,
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,C-130 ATS II,BSC PARTNERS LLC,BSC PARTNERS LLC,10/21/2013,92063.0,4101065940, SERVICE ITEM,
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,C-130 ATS II,"CRAIG TECHNICAL CONSULTING, INC.","CRAIG TECHNICAL CONSULTING, INC.",02/24/2014,40000.0,4101246304, SERVICE ITEM,
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,C-130 ATS II,INTERNATIONAL BUSINESS MACHINES CORPORATION,International Business Machines Corporation,06/30/2014,33800.0,4101455502, E0J5SLL LCMS OUTSTART ANNUAL S/W SUPPORT,
https://analytics.govini.com/details/procurement/6366058667196985349/127408989/,U.S. Federal Agency,DCA Definitive Contract,US Department of the Air Force,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,,US Department of the Air Force,US Department of Defense (DOD),US Department of the Air Force,1400 Defense Pentagon ,,Washington,DC,20301,,,http://www.af.mil/,92,,,,FA822311C0001,10/22/2010,,11/01/2010,12/31/2018,0.0,LOCKHEED MARTIN CORPORATION (3632),Governance & Education,Educational Services,12506 LAKE UNDERHILL RD,,Orlando,FL,32825,United States,(611512) Flight Training,(J069) MAINT/REPAIR/REBUILD OF EQUIPMENT- TRAINING AIDS AND DEVICES,,,,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,,Lockheed Martin Corporation,LOCKHEED MARTIN CORPORATION (3632),12506 LAKE UNDERHILL ROAD,P.O.BOX 780217,Orlando,FL,32825,,,,C-130 ATS II,CAE USA INCORPORATED (1065),BAE Systems plc,01/14/2014,18705613.0,4101180176, SERVICE ITEM,
